timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058301470,3,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,1,1,http://10.0.10.10:9966/petclinic/api/owners/,3,0,1
1538058301476,2,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,1,1,http://10.0.10.10:9966/petclinic/api/pets/,2,1,0,0,0
1538058301487,3,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,1,1,http://10.0.10.10:9966/petclinic/api/owners/,2,0,0
1538058301490,1,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,1,1,http://10.0.10.10:9966/petclinic/api/pets/,1,1,0,0,0
1538058301492,2,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,1,1,http://10.0.10.10:9966/petclinic/api/owners/,2,0,0
1538058301494,1,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,1,1,http://10.0.10.10:9966/petclinic/api/pets/,1,1,0,0,0
1538058301496,2,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,1,1,http://10.0.10.10:9966/petclinic/api/owners/,2,0,0
1538058301498,2,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,1,1,http://10.0.10.10:9966/petclinic/api/pets/,1,1,0,0,0
1538058301500,2,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,1,1,http://10.0.10.10:9966/petclinic/api/owners/,2,0,0
1538058301502,2,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,1,1,http://10.0.10.10:9966/petclinic/api/pets/,2,1,0,0,0
1538058301510,2,GetAll Owners Request,200,,Load Tests 1-49,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,2,0,0
1538058301505,7,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,7,0,5
1538058301512,2,GetAll Pets Request,200,,Load Tests 1-49,text,true,,3508,138,2,2,http://10.0.10.10:9966/petclinic/api/pets/,2,1,0,0,0
1538058301512,4,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,2,2,http://10.0.10.10:9966/petclinic/api/pets/,4,1,0,0,0
1538058301514,3,GetAll Owners Request,200,,Load Tests 1-49,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,3,0,1
1538058301517,3,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,3,0,0
1538058301517,4,GetAll Pets Request,200,,Load Tests 1-49,text,true,,3508,138,2,2,http://10.0.10.10:9966/petclinic/api/pets/,4,1,0,0,0
1538058301520,3,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,2,2,http://10.0.10.10:9966/petclinic/api/pets/,3,1,0,0,0
1538058301521,4,GetAll Owners Request,200,,Load Tests 1-49,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,4,0,0
1538058301523,3,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,3,0,0
1538058301525,2,GetAll Pets Request,200,,Load Tests 1-49,text,true,,3508,138,2,2,http://10.0.10.10:9966/petclinic/api/pets/,2,1,0,0,0
1538058301526,2,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,2,2,http://10.0.10.10:9966/petclinic/api/pets/,2,1,0,0,0
1538058301528,2,GetAll Owners Request,200,,Load Tests 1-50,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,2,0,0
1538058301527,5,GetAll Owners Request,200,,Load Tests 1-49,text,true,,3242,140,2,2,http://10.0.10.10:9966/petclinic/api/owners/,5,0,1
1538058301530,3,GetAll Pets Request,200,,Load Tests 1-50,text,true,,3508,138,2,2,http://10.0.10.10:9966/petclinic/api/pets/,3,1,0,0,0
